ageInYears,MaleDeath,FemaleDeath,TotalDeath,TotalPopulation
0,1463,1157,2620,701897
1,75,59,134,730219
2,50,40,90,759354
3,48,30,78,783321
4,32,27,59,807529
5,26,16,42,806745
6,26,18,44,813073
7,31,18,49,830700
8,37,22,59,855000
9,36,17,53,841895
10,30,19,49,826080
11,22,21,43,817287
12,40,31,71,823732
13,39,34,73,796700
14,54,34,88,781315
15,66,35,101,752712
16,67,41,108,740693
17,110,56,166,722928
18,139,62,201,717252
19,168,81,249,750095
20,208,68,276,778930
21,183,77,260,810303
22,188,98,286,827261
23,238,89,327,856602
24,222,79,301,860062
25,262,101,363,858738
26,279,107,386,884489
27,284,137,421,887131
28,294,131,425,914604
29,315,155,470,931668
30,335,170,505,914186
31,354,187,541,905920
32,421,227,648,913691
33,413,250,663,891015
34,469,253,722,897163
35,499,274,773,894424
36,529,337,866,872466
37,605,325,930,878205
38,588,390,978,876420
39,698,401,1099,882585
40,733,440,1173,882352
41,780,458,1238,846976
42,734,455,1189,750568
43,812,539,1351,778286
44,907,549,1456,739361
45,1042,619,1661,807777
46,1160,693,1853,821621
47,1233,787,2020,857254
48,1412,966,2378,894159
49,1613,1070,2683,923156
50,1727,1096,2823,901680
51,1902,1233,3135,923655
52,2015,1278,3293,923357
53,2178,1395,3573,923714
54,2385,1481,3866,923611
55,2565,1636,4201,938738
56,2749,1797,4546,928163
57,2907,1855,4762,906643
58,3165,2062,5227,884567
59,3334,2085,5419,852740
60,3499,2321,5820,816209
61,3652,2440,6092,796532
62,3962,2662,6624,777771
63,4166,2733,6899,747241
64,4240,2825,7065,718065
65,4494,2917,7411,689198
66,5088,3308,8396,687334
67,5197,3522,8719,674764
68,5562,3772,9334,651687
69,6050,4134,10184,652398
70,6689,4639,11328,660817
71,7309,5190,12499,672642
72,8409,6059,14468,702415
73,9656,6928,16584,853009
74,8500,6305,14805,575023
75,9191,6801,15992,549939
76,9922,7519,17441,540477
77,10001,7832,17833,494925
78,9924,7914,17838,435050
79,9935,8213,18148,383368
80,11005,9197,20202,386890
81,11495,10208,21703,373288
82,12163,10805,22968,350944
83,12129,11295,23424,322102
84,12249,12166,24415,292999
85,12234,12433,24667,264997
86,11905,12837,24742,231822
87,11889,13365,25254,206428
88,11366,13608,24974,105189
89,10765,13964,24729,161430
90,9761,13600,23361,139390
91,8706,12953,21659,112650
92,7325,11963,19288,90030
93,6471,11045,17516,72270
94,5165,9561,14726,56330
95,4163,8274,12437,42520
96,3019,7093,10112,31320
97,2185,5749,7934,22560
98,1585,4759,6344,16090
99,1143,3634,4777,11220
100,743,2615,3358,7590
101,336,1266,1602,3110
102,169,794,963,1790
103,96,529,625,1140
104,62,344,406,700
105+,61,438,499,790